Territory Id,Territory Name,Parent Id,Manager Id,Access,Role Id,Created By Id,Modified By Id,Created Time,Modified Time,Query Id,Potential Query Id,Lead Query Id,Description
zcrm_6789162000001389074,QiAlly LLC,,zcrm_6789162000000560001,0,,zcrm_6789162000000560001,zcrm_6789162000000560001,2025-05-24 11:15:40,2025-05-24 11:15:40,,,,Organization Parent Territory
zcrm_6789162000001389080,Taxes,zcrm_6789162000001389074,zcrm_6789162000000560001,0,,zcrm_6789162000000560001,zcrm_6789162000000560001,2025-05-24 11:16:19,2025-05-24 11:16:19,,,,
zcrm_6789162000001389086,Accounting,zcrm_6789162000001389074,zcrm_6789162000000560001,1,,zcrm_6789162000000560001,zcrm_6789162000000560001,2025-05-24 11:16:33,2025-05-24 11:16:33,,,,
zcrm_6789162000001389092,Docs,zcrm_6789162000001389074,zcrm_6789162000000560001,1,,zcrm_6789162000000560001,zcrm_6789162000000560001,2025-05-24 11:16:57,2025-05-24 11:16:57,,,,
zcrm_6789162000001389098,BizStart and Compliance,zcrm_6789162000001389074,zcrm_6789162000000560001,1,,zcrm_6789162000000560001,zcrm_6789162000000560001,2025-05-24 11:17:19,2025-05-24 11:17:19,,,,
zcrm_6789162000001389104,People Solutions,zcrm_6789162000001389074,zcrm_6789162000000560001,1,,zcrm_6789162000000560001,zcrm_6789162000000560001,2025-05-24 11:17:41,2025-05-24 11:17:41,,,,
zcrm_6789162000001389110,Digital and Automation,zcrm_6789162000001389074,zcrm_6789162000000560001,1,,zcrm_6789162000000560001,zcrm_6789162000000560001,2025-05-24 11:17:58,2025-05-24 11:17:58,,,,
