Name,Asset Tracking,Checkbox,Rollup
NOT RECEIVED,"Web Cam 4K Stereo (Web%20Cam%204K%20Stereo%201c4f84a044028000a02be8e1a133405e.md), Shopping Basket Black x 2 (Shopping%20Basket%20Black%20x%202%201c4f84a044028004af6ff6977039c766.md), ScanSnap iX1600 Wireless or USB High-Speed Cloud Enabled Document, Photo & Receipt Scanner (ScanSnap%20iX1600%20Wireless%20or%20USB%20High-Speed%20Cloud%20E%201c4f84a04402800f98b5e12f49407cc2.md), Indianapolis Custom Photo with Frame (Indianapolis%20Custom%20Photo%20with%20Frame%201c4f84a044028040b2d5d64cdf9f4056.md), Faux Orchid (Faux%20Orchid%201c4f84a04402808aa7c5fa0fde0f85db.md), TP Link Switch 5 Port (TP%20Link%20Switch%205%20Port%201c4f84a04402809cb201c361adad32b4.md), WiFi 6 AX Router (WiFi%206%20AX%20Router%201c4f84a0440280a5b86cc61eb3726270.md), Long Heavy Duty Extention White (Long%20Heavy%20Duty%20Extention%20White%201c4f84a0440280abb1e4c9d9bb7d928d.md), Passport Die Cutter Punch (Passport%20Die%20Cutter%20Punch%201c4f84a0440280afb710ef1727e30b5c.md), Space Heater (Space%20Heater%201c4f84a0440280cda422dd88a7db966c.md), USB HD Headset (USB%20HD%20Headset%201c4f84a0440280d48d9fd15a88d58fa3.md), Small Sectional Sofa Leather White Free (Small%20Sectional%20Sofa%20Leather%20White%20Free%201c4f84a0440280d7bacbeca65c818051.md), Hercules Alon Series LeatherSoft Reception Configuration 4 piece (Missing 1 piece) (Hercules%20Alon%20Series%20LeatherSoft%20Reception%20Configu%201c4f84a0440280e59107ceb4b38ab68b.md), Laminator White (Laminator%20White%201c4f84a0440280f099aeefc8b2437e71.md)",14,1430.59
RECEIVED,"32-Inch Smark TV with Alexa (32-Inch%20Smark%20TV%20with%20Alexa%201c4f84a04402800591d2f12a6998ac25.md), Vanity Desk (Vanity%20Desk%201c4f84a0440280088f81c0b3bf2c3d32.md), ScanSnap iX1600 Wireless or USB High-Speed Cloud Enabled Document, Photo & Receipt Scanner (ScanSnap%20iX1600%20Wireless%20or%20USB%20High-Speed%20Cloud%20E%201c4f84a04402800f98b5e12f49407cc2.md), License Plate ""576ndd"" (License%20Plate%20576ndd%201c4f84a044028016a835f619ba95f603.md), Flat Top Scanner (Flat%20Top%20Scanner%201c4f84a04402801eae0fe845040150e0.md), Fast Charger USB C 100W, 5 Ports Charging Blocks Ultra Thin Flat Plug (Fast%20Charger%20USB%20C%20100W,%205%20Ports%20Charging%20Blocks%20U%201c4f84a0440280249ff7c6ac3a4a361c.md), Company Documents (Company%20Documents%201c4f84a04402802b8dadcc689fbc6ea9.md), 4K USB C to USB C Monitor Cable (4K%20USB%20C%20to%20USB%20C%20Monitor%20Cable%201c4f84a044028043a235d432c93464ed.md), Monitor Arm (Monitor%20Arm%201c4f84a044028055958cef2447b09a0f.md), Square Card Reader With Doc (Square%20Card%20Reader%20With%20Doc%201c4f84a0440280588abec10d8bac33aa.md), Postage Meter (Postage%20Meter%201c4f84a04402805d868bd6d31ac7ffbb.md), 150-Pack Passport Photo Organizer Folder (150-Pack%20Passport%20Photo%20Organizer%20Folder%201c4f84a0440280608c93d33e9fdec4d4.md), Large Commercial Microwave (Large%20Commercial%20Microwave%201c4f84a044028061a120c9a02bcc8580.md), Legal Documents (Legal%20Documents%201c4f84a044028062a491c719786f2ba7.md), Laminator Black (Laminator%20Black%201c4f84a0440280798315e08516df1420.md), Table Cloth (Table%20Cloth%201c4f84a04402808482f9c63c588dc028.md), Thermal 4*6 Shipping Label Printer (Thermal%204%206%20Shipping%20Label%20Printer%201c4f84a0440280858c5ce6f17737573c.md), Phone Wireless charger (Phone%20Wireless%20charger%201c4f84a044028090a540f4ced81ea874.md), Keyboard Standard (Keyboard%20Standard%201c4f84a044028095b294f9fa5f0bc5f8.md), Full Motion TV Wall Mount Bracket (Full%20Motion%20TV%20Wall%20Mount%20Bracket%201c4f84a04402809aa544d06ac725633a.md), Comb Binding Machine 21-Hole (Comb%20Binding%20Machine%2021-Hole%201c4f84a04402809cbdc3d495b72a607c.md), Lanier Color Printer Business (Lanier%20Color%20Printer%20Business%201c4f84a04402809f81d3d2c34960841c.md), Table Fan Black (Table%20Fan%20Black%201c4f84a0440280ad8f07f625af545439.md), Wired Mouse (Wired%20Mouse%201c4f84a0440280b683a0d4fb2c6a8df7.md), Konica Minolta Bizhub 223 (Konica%20Minolta%20Bizhub%20223%201c4f84a0440280c1a998d79793fe37db.md), Heavy Duty Glass Side Table (Heavy%20Duty%20Glass%20Side%20Table%201c4f84a0440280cabb9bef16d1c83ebb.md), Printer Cabinet with Storage (Printer%20Cabinet%20with%20Storage%201c4f84a0440280d5b2c3dc73f5a81a6e.md), Document Frames (Document%20Frames%201c4f84a0440280de8ae5eb6a2626a307.md), Canon Sephy Photo Printer for Passports (Canon%20Sephy%20Photo%20Printer%20for%20Passports%201c4f84a0440280e6b54df3fbb85f5457.md), Ergonomic Racing XL Gamer Chair (Ergonomic%20Racing%20XL%20Gamer%20Chair%201c4f84a0440280e980e7ff512a4bf310.md), LG Computer Monitor (LG%20Computer%20Monitor%201c4f84a0440280fa9addd0f667cbacbc.md), Wifi Extender (Wifi%20Extender%201c4f84a0440280f8bf29e6178d1d3dcc.md), Brown Leather Computer Chair (Brown%20Leather%20Computer%20Chair%201c4f84a0440280f69866e77f1e979464.md), Side Table Small Wood and Steel (Side%20Table%20Small%20Wood%20and%20Steel%201c4f84a0440280f89dd0c9a3b176002b.md), HP ELITEDESK 800G3 HIGH PERF (HP%20ELITEDESK%20800G3%20HIGH%20PERF%201c4f84a0440280f4bd2fe4e0104b6051.md), Portable Fan (Portable%20Fan%201c4f84a0440280f393b0dca74e133a0e.md)",36,7053.439999999999
