source_file,source_path,domain,file_kind,target_module,target_record_type,target_schema,target_table,current_stage,status,row_count,column_count,notes
personal_merged_category-type_date sold_date sold summary_db.csv,sheets/personal/personal_merged_category-type_date sold_date sold summary_db.csv,personal,csv,personal,record,qisystem,records,raw,needs_profile,101,11,Raw ingestion target
personal_merged_created by_edited by_editing date_db.csv,sheets/personal/personal_merged_created by_edited by_editing date_db.csv,personal,csv,personal,record,qisystem,records,raw,needs_profile,11,10,Raw ingestion target
personal_merged_date_expense_income_db.csv,sheets/personal/personal_merged_date_expense_income_db.csv,personal,csv,personal,record,qisystem,records,raw,needs_profile,14,6,Raw ingestion target
personal_Messages to Cody (DB).csv,sheets/personal/personal_Messages to Cody (DB).csv,personal,csv,personal,record,qisystem,records,raw,needs_profile,2,10,Raw ingestion target
personal_Notes.csv,sheets/personal/personal_Notes.csv,personal,csv,personal,record,qisystem,records,raw,needs_profile,217,27,Raw ingestion target
personal_Personal Inventory.csv,sheets/personal/personal_Personal Inventory.csv,personal,csv,personal,record,qisystem,records,raw,needs_profile,24,15,Raw ingestion target
personal_qimessages_C_001.csv,sheets/personal/personal_qimessages_C_001.csv,personal,csv,personal,record,qisystem,records,raw,needs_profile,1,40,Raw ingestion target
personal_Reading Journal.csv,sheets/personal/personal_Reading Journal.csv,personal,csv,personal,record,qisystem,records,raw,needs_profile,21,5,Raw ingestion target
personal_StickyNotes_001.csv,sheets/personal/personal_StickyNotes_001.csv,personal,csv,personal,record,qisystem,records,raw,needs_profile,1,8,Raw ingestion target
personal_Tesla_Charging_History_2024-06-16T06-09-49.532Z_1e0e91da.csv,sheets/personal/personal_Tesla_Charging_History_2024-06-16T06-09-49.532Z_1e0e91da.csv,personal,csv,personal,record,qisystem,records,raw,needs_profile,10,23,Raw ingestion target
personal_Untitled 1_12.csv,sheets/personal/personal_Untitled 1_12.csv,personal,csv,personal,record,qisystem,records,raw,needs_profile,18,15,Raw ingestion target
personal_Untitled 1_2.csv,sheets/personal/personal_Untitled 1_2.csv,personal,csv,personal,record,qisystem,records,raw,needs_profile,238,5,Raw ingestion target
personal_Untitled 1_22.csv,sheets/personal/personal_Untitled 1_22.csv,personal,csv,personal,record,qisystem,records,raw,needs_profile,80,16,Raw ingestion target
personal_Untitled all 1_2.csv,sheets/personal/personal_Untitled all 1_2.csv,personal,csv,personal,record,qisystem,records,raw,needs_profile,18,16,Raw ingestion target
personal_vaccinations_db.csv,sheets/personal/personal_vaccinations_db.csv,personal,csv,personal,record,qisystem,records,raw,needs_profile,1,9,Raw ingestion target
personal_Vianey & Carlos.csv,sheets/personal/personal_Vianey & Carlos.csv,personal,csv,personal,record,qisystem,records,raw,needs_profile,22,7,Raw ingestion target
personal_What I’m Navigating Cody’s Guide to Understanding  219f84a04402814bac9aeb70a7ba0031_all.csv,sheets/personal/personal_What I’m Navigating Cody’s Guide to Understanding  219f84a04402814bac9aeb70a7ba0031_all.csv,personal,csv,personal,record,qisystem,records,raw,needs_profile,51,5,Raw ingestion target
personal_You Thought That You Knew Me.csv,sheets/personal/personal_You Thought That You Knew Me.csv,personal,csv,personal,record,qisystem,records,raw,needs_profile,256,17,Raw ingestion target
