Line Item,Part,Type,Index Main,Index Name,Schedule C Name,Parent item,Sub-item
Part X - 1. Asset Account,Part X,Other,,,SchC,,
Part X - 2. Liability Account,Part X,Other,,,SchC,,
Part X - 3. Equity Account,Part X,Other,,,SchC,,
Part X - 5. Personal Expenses,Part X,Other,,,SchC,,
Part I - Income-1. Gross receipts or sales,Part 1,Part I - Income-3. Subtract line 2 from line 1 (Net receipts) (Part%20I%20-%20Income-3%20Subtract%20line%202%20from%20line%201%20(Net%2093b345be6cd746879f17ab6530ce75a4.csv),4100 (4100%201dcf84a044028067b09aff7896376f67.csv),4100-Revenue-Service,SchC4100-Revenue-Service,,"Part I - Income-2. Returns and allowances (Part%20I%20-%20Income-2%20Returns%20and%20allowances%208e139b7688474468854a193287994ae2.csv)
Part I - Income-5. Gross profit (subtract line 4 from line 3),Part 1,Calculated,,,SchC,Part I - Income-1. Gross receipts or sales (Part%20I%20-%20Income-1%20Gross%20receipts%20or%20sales%20777bf489be1f4e7b81ce67acf3865127.csv),
Part I - Income-2. Returns and allowances,Part 1,Returns,4300 (4300%201dcf84a0440280c8ac01e9badb748857.csv),4300-Revenue-Returns,SchC4300-Revenue-Returns,Part I - Income-1. Gross receipts or sales (Part%20I%20-%20Income-1%20Gross%20receipts%20or%20sales%20777bf489be1f4e7b81ce67acf3865127.csv),
Part I - Income-3. Subtract line 2 from line 1 (Net receipts),Part 1,Calculated,,,SchC,Part I - Income-1. Gross receipts or sales (Part%20I%20-%20Income-1%20Gross%20receipts%20or%20sales%20777bf489be1f4e7b81ce67acf3865127.csv),
Part I - Income-6. Other income (including interest and capital gains),Part 1,Other Income,4600 (4600%201dcf84a044028019a24edcc54dc143a7.csv),4600-Income-Other,SchC4600-Income-Other,Part I - Income-1. Gross receipts or sales (Part%20I%20-%20Income-1%20Gross%20receipts%20or%20sales%20777bf489be1f4e7b81ce67acf3865127.csv),
Part I - Income-4. Cost of goods sold (from Part III),Part 1,COGS,5200 (5200%201dcf84a0440280f9878bfc55b1b94403.csv),5200-Costs-Goods Sold,SchC5200-Costs-Goods Sold,Part I - Income-1. Gross receipts or sales (Part%20I%20-%20Income-1%20Gross%20receipts%20or%20sales%20777bf489be1f4e7b81ce67acf3865127.csv),
Part II - Expenses-19. Pension and profit-sharing plans,Part 2,Expense,,,SchC,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.csv),
Part II - Expenses-10. Commissions and fees,Part 2,Expense,,,SchC,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.csv),
Part I - Income-7. Gross income (add lines 5 and 6),Part 1,Calculated,,,SchC,Part I - Income-1. Gross receipts or sales (Part%20I%20-%20Income-1%20Gross%20receipts%20or%20sales%20777bf489be1f4e7b81ce67acf3865127.csv),
Part II - Expenses-12. Depletion,Part 2,Expense,,,SchC,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.csv),
Part II - Expenses-17. Legal and professional services,Part 2,Expense,,,SchC,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.csv),
Part II - Expenses-11. Contract labor (if subcontractors were hired),Part 2,Expense,,,SchC,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.csv),
Part II - Expenses-08. Advertising,Part 2,Expense,,,SchC,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.csv),
Part II - Expenses-14. Employee benefit programs (other than on line 19),Part 2,Expense,,,SchC,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.csv),
"Part II - Expenses-16a. Interest on mortgage (paid to banks,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.csv),,etc.)",,Part 2,,SchC
Part II - Expenses-15. Insurance (other than health),Part 2,Expense,,,SchC,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.csv),
Part II - Expenses-16b. Other interest,Part 2,Expense,,,SchC,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.csv),
Part II - Expenses-13. Depreciation and section 179 expense deduction (not included in Part III),Part 2,Expense,,,SchC,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.csv),
Part II - Expenses-09. Car and truck expenses,Part 2,Expense,,,SchC,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.csv),
Part II - Expenses-18. Office expense (including supplies),Part 2,Expense,,,SchC,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.csv),
Part II - Expenses-24a. Travel,Part 2,Expense,,,SchC,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.csv),
Part II - Expenses-22. Supplies (not included in Part III),Part 2,Expense,,,SchC,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.csv),
Part III - Cost of Goods Sold-37. Cost of labor (do not include any amounts listed in Part II),Part 3,COGS,,,SchC,Part III - Cost of Goods Sold (Part%20III%20-%20Cost%20of%20Goods%20Sold%201dcf84a044028093b22afad8998afe14.csv),
Part III - Cost of Goods Sold-35. Inventory at beginning of year,Part 3,COGS,,,SchC,Part III - Cost of Goods Sold (Part%20III%20-%20Cost%20of%20Goods%20Sold%201dcf84a044028093b22afad8998afe14.csv),
"Part II - Expenses-20a. Rent or lease: Vehicles,,SchC,machinery,and equipment",Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.csv),,Part 2
Part II - Expenses-23. Taxes and licenses,Part 2,Expense,,,SchC,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.csv),
Part III - Cost of Goods Sold-36. Purchases less cost of items withdrawn for personal use,Part 3,COGS,,,SchC,Part III - Cost of Goods Sold (Part%20III%20-%20Cost%20of%20Goods%20Sold%201dcf84a044028093b22afad8998afe14.csv),
Part III - Cost of Goods Sold-42. Cost of goods sold (subtract line 41 from line 40),Part 3,COGS,,,SchC,Part III - Cost of Goods Sold (Part%20III%20-%20Cost%20of%20Goods%20Sold%201dcf84a044028093b22afad8998afe14.csv),
Part II - Expenses-24b. Deductible meals,Part 2,Expense,,,SchC,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.csv),
"Part III - Cost of Goods Sold-34. Was there any change in determining quantities,,SchC,costs,or valuations between opening and closing inventory? (Yes/No)",Part III - Cost of Goods Sold (Part%20III%20-%20Cost%20of%20Goods%20Sold%201dcf84a044028093b22afad8998afe14.csv),,Part 3
Part III - Cost of Goods Sold-40. Add lines 35 through 39,Part 3,COGS,,,SchC,Part III - Cost of Goods Sold (Part%20III%20-%20Cost%20of%20Goods%20Sold%201dcf84a044028093b22afad8998afe14.csv),
Part III - Cost of Goods Sold-33. Method(s) used to value closing inventory,Part 3,COGS,,,SchC,Part III - Cost of Goods Sold (Part%20III%20-%20Cost%20of%20Goods%20Sold%201dcf84a044028093b22afad8998afe14.csv),
Part IV - Information on Your Vehicle,Part 4,day,,,SchC,,"Part IV - Information on Your Vehicle-43. When did you place your vehicle in service for business purposes? (month
Part III - Cost of Goods Sold-41. Inventory at end of year,Part 3,COGS,,,SchC,Part III - Cost of Goods Sold (Part%20III%20-%20Cost%20of%20Goods%20Sold%201dcf84a044028093b22afad8998afe14.csv),
Part III - Cost of Goods Sold-38. Materials and supplies,Part 3,COGS,,,SchC,Part III - Cost of Goods Sold (Part%20III%20-%20Cost%20of%20Goods%20Sold%201dcf84a044028093b22afad8998afe14.csv),
Part II - Expenses-27a. Other expenses (list below or on an attached statement),Part 2,Expense,,,SchC,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.csv),
