ID,Category-Type,Item description,QTY,Price,Status,Date Sold,Date Sold Summary,Revenue,Summary Total,Total
YSI-16,Kitchenware: Glassware,"Glassware: Nightmare before Christmas jack Skellington collectors shot glasses. ",1,$10.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv),$10.00
YSI-17,Clothing: Men's Clothes,T-Shirt - Graphic - “Sorry…Selective Hearing”,1,$2.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv),$2.00
YSI-18,Accessories: Bags,Handbag Brown,1,$10.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv),$10.00
YSI-19,Accessories: Glasses,Eye Glasses - Blue,1,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv),$5.00
YSI-20,Accessories: Bags,Wallet - Womens Guess Black,1,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv),$5.00
YSI-21,Accessories: Glasses,Eye Glasses - Black,1,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv),$5.00
YSI-22,Accessories: Sports Gear,Knee Shin Guards,2,$10.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv),$20.00
YSI-23,Electronics: Smart Home Devices,Wifi Extender - TpLink,1,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv),$5.00
YSI-24,Accessories: Shoes,Red Womens Shoes - Tennis Size 11,1,$10.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv),$10.00
YSI-25,Electronics: Cables and Chargers,USB to HDMI Splitter,1,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv),$5.00
YSI-26,Books,Book - Girl in Pieces,1,$2.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv),$2.00
YSI-27,,Empty,,,Pending,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv),$0.00
YSI-28,Electronics: Smart Home Devices,Wifi Extender Netgear,1,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv),$5.00
YSI-29,Electronics: Smart Home Devices,Wifi Extender TPLink,1,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv),$5.00
YSI-30,Electronics: Smart Home Devices,Wifi Adapter TP Link,1,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv),$5.00
YSI-31,Accessories: Photo Albums,Photo Album,1,$2.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv),$2.00
YSI-32,Accessories: Holiday Supplies,Holiday Wrapping Paper,1,$1.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv),$1.00
August 3 (August%203%204056f26bdf4c47e38e61a1c8d2e99f6b.csv),Clothing: Men's Clothes,T-Shirt Mens - Graphic california,,YSI-33,$1.00,"August 3,2024",1,Sold,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv)
YSI-34,,T-Shift Womens - Graphic Sugar Skull,1,,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv),$0.00
