CHARGE NAME,FELONY,MISD,CITATION,Condition," Condition Met?"," 2"," 3",BGCK Conditions,Review Status
Weapons (failure to register firearm),,,,X - 2 within the last 7 years,No,,,,Not started
"Public Disturbance (dealing in hazardous waste,rioting/demonstrating,causing a panic)",,,,X - 2 within the last 7 years,No,,
"Prostitution (soliciting,solicitation,pandering)",,,,X - 2 within the last 7 years,No,,
Non Support of Dependent,,,,X - 2 within the last 7 years,No,,,,Not started
"Failures/Contempt - excluding failure to identify (ex-felon fail to change address,failure to appear/pay,failure to file/pay taxes,disobey a court order-unspecified)",,,,X - 2 within the last 7 years,No,
"Misconduct in a Public Office ",,,,X - 2 within the last 7 years,No,,,,Not started
Licensing - excluding traffic (fail to maintain license/registration),,,,X - 2 within the last 7 years,No,,,,Not started
"Disorderly Conduct (without violence or weapons,unspecified)",,,,X - 2 within the last 7 years,No,,,
Bail/Bond Forfeiture,,,,X - if a non-conviction,No,X - if needs review as conviction,,,Not started
Warrant / Capias - a case with an active warrant.,,,,X - if meets as a conviction,No,X - if needs review as a conviction,X - if DNM as a conviction,,Not started
Pending / Active - a case that is still in process in the courts without a disposition.,,,,X - if meets as a conviction,No,X - if needs review as a conviction,X - if DNM as a conviction,,Not started
Adjudication Withheld or Judgment Withheld - a withholding of judgment for a predetermined amount of time with requirements assessed against the defendant by the court.,,,," X - if meets requirements as a conviction",No,Term of plea agreement with completed paperwork to Trak 1,,,Not started
Plea in Abeyance - (Utah) A plea submitted by the court because the defendant is not present in court.,,,," X - if meets requirements as a conviction",No,"X- if needs review as a conviction or state is not listed as a deferral state ",,,Not started
Pre-Trial Diversion/Intervention,,,," X - if meets requirements as a conviction",No,"X- if needs review as a conviction or state is not listed as a deferral state ",,,Not started
Deferred Prosecution - Postponing prosecution; this does not mean to omit or dismiss.,,,," X - if meets requirements as a conviction",No,X- if needs review as a conviction or state is not listed as a deferral state,,,Not started
"Conditional Discharge - A sentence passed by a court whereby the defendant is not punished,provided they comply with certain conditions.",,,," X - if meets requirements as a conviction",No,"X- if needs review as a conviction or state is not listed as a deferral state ",,
"Diversion Granted  - Pre-trial intervention,first-time or petty criminal offenders are not subjected to the regular judicial process,usually placed on probation for no more than 1 yr.  Not an admission of guilt or a conviction ",,,," X - if meets requirements as a conviction",No,X- if needs review as a conviction or state is not listed as a deferral state,
Adjudication Withheld or Judgment Withheld - a withholding of judgment for a predetermined amount of time with requirements assessed against the defendant by the court.,,,," X - if meets requirements as a conviction",No,"X- if needs review as a conviction or state is not listed as a deferral state ",,,Not started
"Deferred Adjudication - Postponing a judgment,this does not mean to omit or dismiss.",,,," X - if meets requirements as a conviction",No,X- if needs review as a conviction or state is not listed as a deferral state,,
Violence (fighting),,,,"X Less than 3 counts ",No,,,,Not started
"Traffic (license suspended/revoked,operating unsafe vehicle,excessive speed,hit and run,reckless driving,expired/improper tags/registration/insurance,non-DUI offenses)",,,
"Case Copy Component ",,,,,No,,,,Not started
Record Found,,,,,No,X,,,Not started
Record Found,,,,,No,,,,Not started
Sexual conduct with a minor,,,,,No,,,,Not started
Taking a child for the purpose of prostitution,,,,,No,,,,Not started
International Searches,,,,,No,,,,Not started
Sex Trafficing,,,,,No,,,,Not started
Sexual assault,,,,,No,,,,Not started
Any time there is a case copy component present on a background check - adjudicate as Needs Review even if the conviction would normally go to DNM.,,,,,No,X,,,Not started
Violation of Sex Offender Registration statutes,,,,,No,,,,Not started
Sexual exploitation of a minor,,,,,No,,,,Not started
OFAC Searches,,,,,No,,,,Not started
Sexual assault of spouse,,,,,No,,,,Not started
Positive results,,,,,No,,,,Not started
Molestation of a child,,,,,No,,,,Not started
Failure to register as a sex offender,,,,,No,,,,Not started
Continuous sexual abuse of a child,,,,,No,,,,Not started
Dilute,,,,,No,,,,Not started
No Record Found,,,,,No,,,,Not started
Infamous crimes against nature,,,,,No,,,,Not started
Sex Offender Registry,,,,,No,,,,Not started
Lewd and lascivious acts,,,,,No,,,,Not started
Incest,,,,,No,,,,Not started
Indecent exposure and public sexual indecency,,,,,No,,,,Not started
